text,actual_label,actual_name,predicted_label,predicted_name,prediction_probability,error_type
"Fwd:

---------- Forwarded message ----------
From: Živa Borak
Date: Tue, 30 Nov 2004 19:41:54 +0100
Subject:
To: Bistra Borak , Marko Bucar

1.
Good: Your wife is pregnant.
Bad: It's triplets.
Ugly: You had a vasectomy five years ago.

2.
Good: Your wife's not talking to you.
Bad: She wants a divorce.
Ugly: She's a lawyer.

3.
Good: Your son is finally maturing.
Bad: He's involved with the woman next door.
Ugly: So are you.

4.
Good: Your son studies a lot in his room.
Bad: You find several porn movies hidden there.
Ugly: You're in them.

5.
Good: Your hubby and you agree, no more kids.
Bad: You can't find your birth control pills.
Ugly: Your daughter borrowed them.

6.
Good: Your husband understands fashion.
Bad: He's a cross-dresser.
Ugly: He looks better than you.

7.
Good: You give the ""birds and bees"" talk to your daughter.
Bad: She keeps interrupting.
Ugly: With corrections.

8.
Good: The postman is early.
Bad: He's wearing fatigues and carrying a shotgun.
Ugly: You gave him not",0,LEGITIMATE,1,PHISHING,0.999342,FALSE_POSITIVE
"flash compatibility ??

Hello,I just visited your website and I am interested in your triptracker slideshow.I just wondered wether it's possible to call it with flash.Thanx. Toine http://www.dclictoine.com

Ne gardez plus qu'une seule adresse mail ! Copiez vos mails vers Yahoo! Mail",0,LEGITIMATE,1,PHISHING,0.998098,FALSE_POSITIVE
"Introducing Animoto's Referral Program

Hey everyone--

To those of you who consider yourselves fans of Animoto...we decided it's time to return the love.

If a friend you refer signs up for an All-Access Pass, we'll give him/her $5 off and we'll hook you up with 3 months' worth of an All-Access Pass for FREE. (That's three entire months of being able to make an unlimited number of full-length videos--and to download them too.)

You may never have to pay for All-Access again!

Here are the details: http://biz.animoto.com/referrals/overview.html

Thanks,
The Animoto Team

P.s. To unsubscribe, update your profile at https://animoto.com/account/update.",0,LEGITIMATE,1,PHISHING,0.997796,FALSE_POSITIVE
"get a $ 25 certificate just for responding to this e - mail

introducing e - rewards ( tm ) - - click here
and get a valuable welcome gift , free !
compaq is proud to invite you to join e - rewards - - a new
rewards program that pays you to read e - mail . we have
joined with blockbuster inc . , delta air lines , hertz ,
united airlines and vail resorts ( tm ) to launch this
exciting new program . and , membership is by invitation
only .
membership is free and you get a valuable welcome gift !
enjoy a valuable welcome gift of your choice from one
of our sponsors . it ' s yours as a special thank you when
you join .
how e - rewards works
simply tell e - rewards how many e - mails you ' re willing
to receive and what kind of advertising you ' re interested
in . they ' ll send you e - mail that ' s relevant to you .
valuable rewards , including compaq savings
for each e - rewards e - mail you receive , you can earn up to
$ 1 in e - rewards . redeem your earnings for great rewards
from e -",0,LEGITIMATE,1,PHISHING,0.993926,FALSE_POSITIVE
"digitize your memories with compaq scanners

tired of searching for your photos or important files ?
quit looking . we have a solution . we ' re offering a compaq tested and
approved agfa ( tm ) snapscan touch usb scanner for just $ 99 .
or for sharper photo reproduction , an epson ( tm ) perfection 1200 u
usb scanner is available for just $ 199 .
picture having all your photos on your hard drive , scanned in and
ready to e - mail to friends and family or to store in cd libraries .
you ' ll also be able to unclutter that office , allowing you to store
documents as easily as placing the original on the scanner bed
and clicking .
not only will these scanners simplify your life , but these great
values come with easy - to - use software , are usb compatible and are ready
to go a few moments out of the box .
so stop your search . everything you need is just a click away .
to order the agfa snapscan , go to
http : / / greatideas . compaq . com / cgi - bin 6 / flo ? y = ecp 20 bdtnxori 0 crx",0,LEGITIMATE,1,PHISHING,0.968774,FALSE_POSITIVE
"dear all

if you wish to find out more about the mission in
kosovo , you can find news and photos at
"" www . kforonline . com "" .
take care , mark
do you yahoo ! ?
get your free @ yahoo . co . uk address at http : / / mail . yahoo . co . uk
or your free @ yahoo . ie address at http : / / mail . yahoo . ie",0,LEGITIMATE,1,PHISHING,0.958261,FALSE_POSITIVE
"DayTips' Poem-a-Day: 09/13/02

===========================================================Sponsor a child today through Children International. Give
a desperately poor child hope for a brighter future. For
only $15 a month you can make a difference!
http://click.topica.com/caaavgIb1dcmWb2yXQNa/ChildrenInternational
===========================================================

DayTips.Com Daily Lists
Poem-a-Day

info@daytips.com http://www.daytips.com
....................................................................
September 13, 2002
....................................................................

I.

From fairest creatures we desire increase,
That thereby beauty's rose might never die,
But as the riper should by time decease,
His tender heir might bear his memory:
But thou, contracted to thine own bright eyes,
Feed'st thy light'st flame with self-substantial fuel,
Making a famine where abundance lies,
Thyself thy foe, to thy sweet self too cruel.
Thou that art now the world's f",0,LEGITIMATE,1,PHISHING,0.745603,FALSE_POSITIVE
"continental phone #

1 - 800 - 621 - 7467 or ? cust . serv . 1 - 800 - 932 - 2732",0,LEGITIMATE,1,PHISHING,0.646143,FALSE_POSITIVE
"[UAI] Is the luck or is it skill?

My guess is that Warren Buffet is both skilled AND lucky!

It is quite reasonable to penalize Mike as not necessarily the most skilled
investor if he is chosen out of 10,000 people *because and after* he turned out
to be the best investor. Of course, it is a different story if Mike is your
first choice and you play him against 9,999 others and he comes up the best.
That later Mike is most likely more skilled than the first one.

Now, if Warren B. is on this mailing list, maybe he can tell us if he was
indeed lucky or if he believes he is the most skilled of all investors!

Michel Desmarais

From: nhi-pljlbix@engr.orst.edu [mailto:nhi-pljlbix@engr.orst.edu] On Behalf Of
Rich Neapolitan
Sent: Saturday, June 25, 2005 7:17 PM
To: faq@eecs.oregonstate.edu
Subject: [UAI] Is the luck or is it skill?

I was preparing a talk about whether people like Warren Buffet are really
better at investment analysis, or is it simply the case that, if thousands
of people d",0,LEGITIMATE,1,PHISHING,0.632991,FALSE_POSITIVE
"Fwd: FW: FW: Lee Evans trio

---------- Forwarded message ----------From: Živa Borak Date: Sep 5, 2006 7:32 PM Subject: FW: FW: Lee Evans trioTo: Ajda Borak , Bistra Borak From: jernej kralj [mailto:thyzsq.rbjyu.84@gmail.com] Sent: Tuesday, September 05, 2006 2:37 PMTo: sxov.kzjqs@gmail.com Subject: Fwd: FW: Lee Evans trio ---------- Forwarded message ----------From: Jernej Kralj Date: 31.8.2006 22:59Subject: Fwd: FW: Lee Evans trio To: thyzsq.rbjyu.84@gmail.com ---------- Forwarded message ----------From: Ida Ros < cioabl@gmail.com>Date: Sep 1, 2005 9:55 AMSubject: Fwd: FW: Lee Evans trio To: Jernej Kralj < otppgr.bkmlg.cdrr@gmail.com> --No virus found in this incoming message.Checked by AVG Free Edition.Version: 7.1.405 / Virus Database: 268.11.7/437 - Release Date: 4.9.2006 --No virus found in this outgoing message.Checked by AVG Free Edition.Version: 7.1.405 / Virus Database: 268.11.7/437 - Release Date: 4.9.2006",0,LEGITIMATE,1,PHISHING,0.548151,FALSE_POSITIVE
